NR IMOVEL;NR INCRA;CEP
93788037;9510809167497;64865000
93788100;4351550054010;35540000
93788134;9510215602193;78525000
93788169;9510809851479;78110002
93788177;9510808479681;35473000
93788282;6012250010664;15710000
93788347;9510809465838;38654000
93788495;9510809358837;29900970
93788541;9501572991891;76900970
93788592;6390360222769;12530000
93788665;9510809570895;37561899
93788681;0010580794217;76900970
93788738;9510805699508;13780000
93788770;9502039431422;39240000
93788819;9510134694085;88598000
93788843;2030410207706;58175000
22628550;8680940065135;99615000
93788860;9510809684718;38190000
93788894;9510806742571;97560000
93788940;9510809116663;29900970
93788959;9510809105467;75280000
93788967;9510726240982;38195000
93788991;9510803322830;37910000
93789106;9510806289729;79580000
93789149;9510809864538;45000010
93789165;9510805627930;79580000
93789203;9510809364640;69380000
93789238;9510809775519;39625000
93789262;9510809720960;96600000
93789270;9510808144744;48620000
93789289;9510809494005;58238000
93789327;0000435022863;96600000
93789351;9510809839185;65390000
93789378;9500926830940;65510000
93789408;9510306684516;88650000
93789467;9501659689865;68655000
93789521;9510809732380;38280000
93789548;9510809871313;96150000
93789556;9510809866077;45655901
93789599;9999626627471;39848000
93789602;9510809182453;68383000
93789637;9510809376657;19770000
93789670;9510809605001;96600000
93789700;0451011000993;68485000
93789777;9510721447112;39400001
93789785;9510998463689;39489000
93789815;9999626631401;39848000
93789866;9510809243185;77249899
93789874;9501229896492;79180000
93789890;3040340149150;46440000
93790066;4170680001755;35606000
93790090;9510809788254;38290000
93790147;0000190102351;69260000
93790171;2072170097252;58855000
93790180;2072170031405;58855000
93790228;9999629185046;77690000
93790368;9510997526814;88862000
01011456;1540400145839;63600000
28768558;4260910089745;35785000
16815556;4320160009658;35365000
20978332;4331360024025;36940000
93790457;9510808193605;37940000
93790520;9510809514804;87570000
11715421;5110130067695;28360000
93790619;9510809565549;87345000
68484500;0011710132773;76952000
93790643;9510808346290;13909899
93790651;9510808346290;13900005
93790678;9510809419992;12940999
93790686;9510809560075;87345000
93790708;9999207357790;76255000
23884614;6241446901809;13140031
93790783;9510804190440;85548000
93790821;9510802418575;99340000
09151621;7090420463108;84400000
04793269;7170880338550;86870000
93790872;9510809853250;75180000
93790899;1430900082817;62690000
93790902;9510218122508;89140000
93790937;9510808970431;37968000
93790996;9510486026392;77570000
92447520;9510720087104;76380002
93791038;9510808020778;48950000
93791046;9510809405690;35001970
93791054;9510808969930;37968000
20106211;8530200368035;95500000
73582158;9500411694122;45900000
93791097;9510807885112;37305000
93791100;9510804627805;29500000
93791127;9500170315346;76670000
38061686;8010200230862;89990000
93791208;9510809180833;29645000
93791402;9510802932295;39205000
93791445;9510802938307;39205000
83876227;9501492962289;13240000
13069330;9501492611818;46140000
83038833;9501810914302;72940000
93791615;9510809850235;65365000
93791666;9510809858643;65714000
93791704;9510809747574;65714000
93791755;9510809805876;65740000
93791801;9510563500108;65274000
93791828;9510809732976;64545000
93791925;9510721729797;11910000
93791950;6090210155717;15200000
93791968;9510809823696;76160000
93791976;9510809728600;39740000
93791984;9510806667189;13919899
93792018;9510809583440;35334000
93792026;9510808937221;35334000
93792034;9510808940605;35334000
93792085;9510809714994;15170000
93792093;9501739117390;37490000
93792107;9510131612762;99360000
93792123;9510806930149;16640000
93792182;9510808842000;76857000
93792190;9510809389554;76857000
93792255;9510805467470;37945000
93792263;9510809809278;78680000
93792271;9999973093703;78665000
93792301;9510808414040;83600970
93792328;8160270590132;89478000
93792336;9502030702628;56210000
93792344;9510805825228;56210000
93792360;9510807669924;56210000
93792379;9510646658781;78550001
93792387;9510805072963;56210000
93792409;9510804958917;56210000
93792417;9510646662118;78550001
93792425;9510806155870;78170000
93792433;7020482580161;83203000
93792441;9510809802346;88475000
16461118;8152250109281;89887000
76263282;9501659263965;45255000
91249651;9510309937008;56360000
93538448;9510806407519;46430000
47597720;4342210041209;37900001
14253712;4422320056655;37576000
06132235;4430180093779;37450000
26100509;4160530047662;38870000
01880888;5040840041115;29665000
22107525;4242260143970;37925000
47237678;4461490056302;37464000
21307385;8520580086058;95650000
04176669;7180250045615;87580000
93137923;9510801929452;79290000
63075237;9410180500088;70002900
56082266;9351070009307;75750000
31247164;9500335789089;58187000
67447953;9500333071148;38190000
78138272;9501652066609;46430000
86026712;9501656192056;57935000
81357460;9501574600016;46438000
40983803;8030900129713;89128000
65771931;9500172027542;75650000
18724515;9999117502392;85900005
93792476;9510567788858;58120000
17058589;1530100189103;63780000
93792506;9501737072101;44610000
93792530;9510642435150;88495000
93792565;9510809267106;49160000
93792620;9510809935141;49550000
93792905;9510809971709;76360000
93792913;9510808643740;56339500
93792980;9510809738150;65973000
93793065;9510809555314;29730000
93793197;9510809374018;64910000
93793243;9501908816511;63640000
93793260;9510809952828;47630000
93793308;9510808483441;17400000
93793324;9500251147669;89570000
93793332;4090650084784;39890000
93793375;9999976039297;65945000
93793391;9510809701825;76888000
93793405;9500251147405;89570000
93793448;1580200121228;63530000
93793472;9510809554180;89888000
93793480;9510809919103;44250000
93793545;9510808430089;78255000
93793553;9510809968317;43800990
93793588;9510809968902;43800990
93793600;9510641423360;78630000
93793618;9510809629377;89801000
93793642;9510809970648;43800990
93793650;9510132989053;75603000
93793669;9510809967779;43800990
93793685;4310280017322;35473000
93793740;9510804470485;86780000
93793910;9510809858139;78530000
